;Url;Error
0;https://web.archive.org/web/20220101000713/http://news.sky.com/story/covid-19-more-than-two-million-in-uk-had-coronavirus-in-week-before-christmas-ons-estimate-12506773;Article `download()` failed with HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20220101000713/http://news.sky.com/story/covid-19-more-than-two-million-in-uk-had-coronavirus-in-week-before-christmas-ons-estimate-12506773 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)'))) on URL https://web.archive.org/web/20220101000713/http://news.sky.com/story/covid-19-more-than-two-million-in-uk-had-coronavirus-in-week-before-christmas-ons-estimate-12506773
1;https://web.archive.org/web/20220101000713/http://news.sky.com/story/new-year-honours-captain-tobias-weller-11-celebrates-becoming-youngest-recipient-12506949;Article `download()` failed with HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20220101000713/http://news.sky.com/story/new-year-honours-captain-tobias-weller-11-celebrates-becoming-youngest-recipient-12506949 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)'))) on URL https://web.archive.org/web/20220101000713/http://news.sky.com/story/new-year-honours-captain-tobias-weller-11-celebrates-becoming-youngest-recipient-12506949
2;https://web.archive.org/web/20220101000713/http://news.sky.com/story/knighthoods-cbes-obes-and-mbes-11-people-who-have-said-no-over-the-years-11593840;Article `download()` failed with HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20220101000713/http://news.sky.com/story/knighthoods-cbes-obes-and-mbes-11-people-who-have-said-no-over-the-years-11593840 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)'))) on URL https://web.archive.org/web/20220101000713/http://news.sky.com/story/knighthoods-cbes-obes-and-mbes-11-people-who-have-said-no-over-the-years-11593840
3;https://web.archive.org/web/20220101000713/http://news.sky.com/story/covid-19-what-will-the-pandemic-mean-for-the-uk-in-2022-experts-give-their-predictions-12501196;Article `download()` failed with HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20220101000713/http://news.sky.com/story/covid-19-what-will-the-pandemic-mean-for-the-uk-in-2022-experts-give-their-predictions-12501196 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)'))) on URL https://web.archive.org/web/20220101000713/http://news.sky.com/story/covid-19-what-will-the-pandemic-mean-for-the-uk-in-2022-experts-give-their-predictions-12501196
4;https://web.archive.org/web/20220101000713/https://news.sky.com/story/covid-19-what-does-the-latest-death-and-hospitalisation-data-tell-us-about-omicron-12506297;Article `download()` failed with HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20220101000713/https://news.sky.com/story/covid-19-what-does-the-latest-death-and-hospitalisation-data-tell-us-about-omicron-12506297 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)'))) on URL https://web.archive.org/web/20220101000713/https://news.sky.com/story/covid-19-what-does-the-latest-death-and-hospitalisation-data-tell-us-about-omicron-12506297
5;https://web.archive.org/web/20220101000713/https://news.sky.com/story/covid-19-uk-daily-tracker-what-is-the-state-of-the-pandemic-near-you-12367016;Article `download()` failed with HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20220101000713/https://news.sky.com/story/covid-19-uk-daily-tracker-what-is-the-state-of-the-pandemic-near-you-12367016 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)'))) on URL https://web.archive.org/web/20220101000713/https://news.sky.com/story/covid-19-uk-daily-tracker-what-is-the-state-of-the-pandemic-near-you-12367016
6;https://web.archive.org/web/20220101000713/https://news.sky.com/story/covid-19-what-are-the-rules-in-the-uks-four-nations-for-christmas-and-beyond-12501836;Article `download()` failed with HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20220101000713/https://news.sky.com/story/covid-19-what-are-the-rules-in-the-uks-four-nations-for-christmas-and-beyond-12501836 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)'))) on URL https://web.archive.org/web/20220101000713/https://news.sky.com/story/covid-19-what-are-the-rules-in-the-uks-four-nations-for-christmas-and-beyond-12501836
7;https://web.archive.org/web/20220101000713/http://news.sky.com/story/covid-19-christmas-day-on-a-coronavirus-ward-at-the-royal-preston-hospital-12503771;Article `download()` failed with HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20220101000713/http://news.sky.com/story/covid-19-christmas-day-on-a-coronavirus-ward-at-the-royal-preston-hospital-12503771 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)'))) on URL https://web.archive.org/web/20220101000713/http://news.sky.com/story/covid-19-christmas-day-on-a-coronavirus-ward-at-the-royal-preston-hospital-12503771
8;https://web.archive.org/web/20220101000713/http://news.sky.com/story/covid-19-new-coronavirus-restrictions-could-be-in-place-until-late-march-under-measures-examined-by-scientific-advisers-12503598;Article `download()` failed with HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20220101000713/http://news.sky.com/story/covid-19-new-coronavirus-restrictions-could-be-in-place-until-late-march-under-measures-examined-by-scientific-advisers-12503598 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)'))) on URL https://web.archive.org/web/20220101000713/http://news.sky.com/story/covid-19-new-coronavirus-restrictions-could-be-in-place-until-late-march-under-measures-examined-by-scientific-advisers-12503598
9;https://web.archive.org/web/20220101000713/http://news.sky.com/story/covid-19-record-number-of-daily-cases-detected-in-uk-but-could-the-real-number-be-thousands-higher-12502283;Article `download()` failed with HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20220101000713/http://news.sky.com/story/covid-19-record-number-of-daily-cases-detected-in-uk-but-could-the-real-number-be-thousands-higher-12502283 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)'))) on URL https://web.archive.org/web/20220101000713/http://news.sky.com/story/covid-19-record-number-of-daily-cases-detected-in-uk-but-could-the-real-number-be-thousands-higher-12502283
