date;bafta;Extinct wildlife;Republicans;Avatar: The Way of Water;air travel;isPartial
2023-01-01;7;0;0;49;14;False
2023-01-02;3;0;3;48;17;False
2023-01-03;5;0;6;36;11;False
2023-01-04;6;0;9;26;17;False
2023-01-05;4;0;6;28;14;False
2023-01-06;17;0;6;31;14;False
2023-01-07;10;0;9;38;10;False
2023-01-08;10;0;3;31;16;False
2023-01-09;13;0;3;25;9;False
2023-01-10;13;0;3;21;15;False
2023-01-11;9;0;3;20;17;False
2023-01-12;15;0;3;21;14;False
2023-01-13;9;0;2;22;11;False
2023-01-14;10;0;0;22;10;False
2023-01-15;14;0;0;30;12;False
2023-01-16;21;0;0;12;13;False
2023-01-17;18;0;1;13;10;False
2023-01-18;12;0;3;11;15;False
2023-01-19;100;0;2;11;14;False
2023-01-20;40;0;0;18;11;False
2023-01-21;23;0;0;23;12;False
2023-01-22;18;0;0;25;13;False
2023-01-23;16;0;2;13;13;False
2023-01-24;19;0;2;15;10;False
2023-01-25;16;0;5;12;14;False
2023-01-26;12;0;5;10;13;False
2023-01-27;13;0;4;13;9;False
2023-01-28;59;0;0;17;12;False
2023-01-29;22;0;0;22;11;False
2023-01-30;12;0;2;15;19;False
2023-01-31;13;0;0;15;16;False
