date;Andrea Riseborough;Journalist safety;Coen brothers;Cybercrime;air travel;isPartial
2023-01-01;2;0;0;3;24;False
2023-01-02;4;0;5;2;28;False
2023-01-03;0;0;3;0;18;False
2023-01-04;2;0;0;4;28;False
2023-01-05;1;0;2;0;23;False
2023-01-06;2;0;0;0;23;False
2023-01-07;0;0;0;2;17;False
2023-01-08;5;0;0;2;26;False
2023-01-09;0;0;2;3;15;False
2023-01-10;0;0;4;4;24;False
2023-01-11;0;0;0;3;28;False
2023-01-12;2;0;0;3;23;False
2023-01-13;5;0;2;4;19;False
2023-01-14;0;0;4;0;17;False
2023-01-15;3;0;6;2;21;False
2023-01-16;6;0;0;1;21;False
2023-01-17;3;0;2;0;17;False
2023-01-18;6;0;0;0;25;False
2023-01-19;3;0;2;2;23;False
2023-01-20;4;0;2;0;18;False
2023-01-21;3;0;0;5;20;False
2023-01-22;2;0;6;0;22;False
2023-01-23;0;0;6;4;22;False
2023-01-24;100;0;2;3;17;False
2023-01-25;48;0;3;2;23;False
2023-01-26;10;0;0;2;21;False
2023-01-27;15;0;5;4;15;False
2023-01-28;28;0;6;0;20;False
2023-01-29;44;0;2;0;19;False
2023-01-30;54;0;2;1;31;False
2023-01-31;44;0;2;2;26;False
