date;Pizza;Nick Kyrgios;Nuclear weapons;University of Bristol;air travel;isPartial
2023-01-01;84;0;1;1;1;False
2023-01-02;67;0;1;1;1;False
2023-01-03;44;0;0;1;1;False
2023-01-04;40;0;0;1;1;False
2023-01-05;42;0;0;1;1;False
2023-01-06;65;0;0;1;1;False
2023-01-07;76;0;0;0;1;False
2023-01-08;58;0;1;1;1;False
2023-01-09;36;0;0;1;1;False
2023-01-10;39;0;0;1;1;False
2023-01-11;37;0;0;1;1;False
2023-01-12;43;0;1;1;1;False
2023-01-13;68;2;0;1;1;False
2023-01-14;83;3;0;0;1;False
2023-01-15;60;3;0;1;1;False
2023-01-16;38;4;0;1;1;False
2023-01-17;39;2;1;1;1;False
2023-01-18;41;1;0;1;1;False
2023-01-19;44;2;0;1;1;False
2023-01-20;72;1;1;1;1;False
2023-01-21;100;1;0;1;1;False
2023-01-22;58;1;0;1;1;False
2023-01-23;40;1;0;1;1;False
2023-01-24;44;1;1;1;1;False
2023-01-25;45;1;1;1;1;False
2023-01-26;45;0;1;1;1;False
2023-01-27;75;0;0;1;1;False
2023-01-28;88;0;0;0;1;False
2023-01-29;62;0;1;0;1;False
2023-01-30;39;0;1;1;1;False
2023-01-31;44;0;0;1;1;False
