date;Working from home;Police;Tomb raider;housing;air travel;isPartial
2023-01-01;3;58;2;22;2;False
2023-01-02;3;58;2;32;2;False
2023-01-03;4;62;2;50;1;False
2023-01-04;4;59;2;49;2;False
2023-01-05;4;56;2;48;2;False
2023-01-06;3;59;2;47;2;False
2023-01-07;2;50;3;28;1;False
2023-01-08;3;55;2;30;2;False
2023-01-09;3;61;1;52;1;False
2023-01-10;4;65;2;49;2;False
2023-01-11;4;62;1;49;2;False
2023-01-12;4;63;2;54;2;False
2023-01-13;3;61;1;45;1;False
2023-01-14;2;57;3;29;1;False
2023-01-15;3;64;2;28;1;False
2023-01-16;4;100;1;51;1;False
2023-01-17;4;85;2;49;1;False
2023-01-18;4;77;2;51;2;False
2023-01-19;4;73;2;47;2;False
2023-01-20;3;68;2;47;1;False
2023-01-21;2;58;3;30;1;False
2023-01-22;3;57;2;30;1;False
2023-01-23;5;67;2;53;2;False
2023-01-24;4;68;3;50;1;False
2023-01-25;4;66;2;50;2;False
2023-01-26;3;64;1;50;1;False
2023-01-27;3;69;2;48;1;False
2023-01-28;3;79;3;27;1;False
2023-01-29;4;72;3;28;1;False
2023-01-30;5;71;2;49;2;False
2023-01-31;4;69;2;51;2;False
