date;Marks & Spencer;Rowing;damar hamlin;Egypt;air travel;isPartial
2023-01-01;3;4;0;17;2;False
2023-01-02;2;5;0;19;2;False
2023-01-03;2;4;100;17;1;False
2023-01-04;1;4;28;18;2;False
2023-01-05;1;4;14;18;2;False
2023-01-06;1;4;9;22;2;False
2023-01-07;1;4;6;17;1;False
2023-01-08;1;5;7;19;2;False
2023-01-09;0;4;5;18;1;False
2023-01-10;1;4;2;18;2;False
2023-01-11;1;4;2;17;2;False
2023-01-12;2;5;1;19;2;False
2023-01-13;1;4;1;15;1;False
2023-01-14;1;4;0;17;1;False
2023-01-15;1;5;0;19;1;False
2023-01-16;2;4;0;17;1;False
2023-01-17;1;4;0;17;1;False
2023-01-18;1;3;0;16;2;False
2023-01-19;2;5;1;16;2;False
2023-01-20;2;5;0;16;1;False
2023-01-21;1;4;0;17;1;False
2023-01-22;2;5;1;18;2;False
2023-01-23;1;4;1;17;2;False
2023-01-24;2;4;1;17;1;False
2023-01-25;1;4;1;17;2;False
2023-01-26;1;3;2;16;1;False
2023-01-27;1;4;1;16;1;False
2023-01-28;1;5;1;15;1;False
2023-01-29;1;4;1;18;1;False
2023-01-30;1;4;0;17;2;False
2023-01-31;2;4;0;17;2;False
