date;june brown;European Commission;Blackburn;Eid al-Adha;air travel;isPartial
2023-01-01;1;0;93;0;4;False
2023-01-02;1;0;55;0;5;False
2023-01-03;0;0;45;0;3;False
2023-01-04;1;1;46;0;4;False
2023-01-05;0;0;45;0;4;False
2023-01-06;0;0;48;0;4;False
2023-01-07;1;0;54;0;3;False
2023-01-08;1;1;78;0;4;False
2023-01-09;0;2;49;0;2;False
2023-01-10;0;1;45;0;4;False
2023-01-11;0;1;47;0;4;False
2023-01-12;0;1;43;0;4;False
2023-01-13;0;1;50;0;3;False
2023-01-14;1;1;75;0;3;False
2023-01-15;0;0;47;0;3;False
2023-01-16;0;1;47;1;3;False
2023-01-17;0;1;49;1;3;False
2023-01-18;0;1;55;0;4;False
2023-01-19;0;1;47;0;4;False
2023-01-20;0;0;47;0;3;False
2023-01-21;1;0;70;2;3;False
2023-01-22;1;0;44;0;3;False
2023-01-23;0;1;49;0;4;False
2023-01-24;0;1;47;0;3;False
2023-01-25;0;1;50;0;4;False
2023-01-26;0;1;44;0;3;False
2023-01-27;1;1;49;0;2;False
2023-01-28;0;1;84;1;3;False
2023-01-29;1;0;54;0;3;False
2023-01-30;0;1;50;0;5;False
2023-01-31;1;1;100;0;4;False
