date;The Beatles;Football Australia;Food & drink industry;Birmingham;air travel;isPartial
2023-01-01;3;0;0;83;1;False
2023-01-02;2;0;0;95;1;False
2023-01-03;1;0;0;86;1;False
2023-01-04;2;0;0;83;1;False
2023-01-05;2;0;0;96;1;False
2023-01-06;2;0;0;83;1;False
2023-01-07;3;0;0;79;1;False
2023-01-08;3;1;0;78;1;False
2023-01-09;2;0;0;82;1;False
2023-01-10;2;0;0;71;1;False
2023-01-11;2;0;0;86;1;False
2023-01-12;2;0;0;88;1;False
2023-01-13;2;0;0;88;1;False
2023-01-14;2;0;0;91;1;False
2023-01-15;2;0;0;81;1;False
2023-01-16;1;0;0;90;1;False
2023-01-17;2;0;0;95;1;False
2023-01-18;2;0;0;91;1;False
2023-01-19;2;0;0;88;1;False
2023-01-20;1;0;0;83;1;False
2023-01-21;2;0;0;100;1;False
2023-01-22;2;0;0;83;1;False
2023-01-23;1;0;0;98;1;False
2023-01-24;1;0;0;86;1;False
2023-01-25;2;0;0;83;1;False
2023-01-26;2;0;0;86;1;False
2023-01-27;2;0;0;85;1;False
2023-01-28;2;0;0;95;1;False
2023-01-29;2;0;0;81;1;False
2023-01-30;2;0;0;87;1;False
2023-01-31;2;0;0;100;1;False
