date;Love Island;Digital media;Indigenous incarceration;First world war;air travel;isPartial
2023-01-01;11;0;0;0;1;False
2023-01-02;11;0;0;1;1;False
2023-01-03;11;1;0;0;1;False
2023-01-04;11;0;0;0;1;False
2023-01-05;11;0;0;0;1;False
2023-01-06;12;1;0;0;1;False
2023-01-07;11;0;0;0;1;False
2023-01-08;12;0;0;0;1;False
2023-01-09;26;1;0;1;1;False
2023-01-10;20;1;0;0;1;False
2023-01-11;14;0;0;0;1;False
2023-01-12;16;1;0;1;1;False
2023-01-13;12;1;0;0;1;False
2023-01-14;15;1;0;1;1;False
2023-01-15;26;0;0;1;1;False
2023-01-16;100;1;0;0;1;False
2023-01-17;82;1;0;0;1;False
2023-01-18;53;0;0;1;1;False
2023-01-19;40;1;0;1;1;False
2023-01-20;44;0;0;1;1;False
2023-01-21;37;0;0;1;1;False
2023-01-22;40;0;0;1;1;False
2023-01-23;45;1;0;0;1;False
2023-01-24;56;1;0;1;1;False
2023-01-25;42;0;0;1;1;False
2023-01-26;35;1;0;0;1;False
2023-01-27;31;0;0;1;1;False
2023-01-28;25;0;0;1;1;False
2023-01-29;29;0;0;1;1;False
2023-01-30;30;0;0;0;1;False
2023-01-31;32;0;0;1;1;False
