date;Rick Rubin;Northumberland;kanye west;Nancy Pelosi;air travel;isPartial
2023-01-01;1;56;100;3;9;False
2023-01-02;1;61;88;2;10;False
2023-01-03;1;57;44;4;7;False
2023-01-04;1;53;36;6;10;False
2023-01-05;0;50;33;6;8;False
2023-01-06;0;49;41;5;8;False
2023-01-07;0;45;30;14;6;False
2023-01-08;1;51;33;6;10;False
2023-01-09;2;49;30;3;6;False
2023-01-10;2;52;27;3;9;False
2023-01-11;2;45;19;1;10;False
2023-01-12;0;51;17;2;9;False
2023-01-13;3;60;90;1;7;False
2023-01-14;1;41;69;2;6;False
2023-01-15;1;56;46;2;8;False
2023-01-16;3;56;36;1;8;False
2023-01-17;12;46;28;1;6;False
2023-01-18;9;50;28;0;9;False
2023-01-19;7;46;24;1;8;False
2023-01-20;4;48;26;2;7;False
2023-01-21;6;48;27;1;7;False
2023-01-22;3;52;21;1;8;False
2023-01-23;4;58;21;1;8;False
2023-01-24;3;60;21;0;6;False
2023-01-25;3;57;21;1;9;False
2023-01-26;1;61;21;0;8;False
2023-01-27;2;52;29;5;5;False
2023-01-28;3;55;30;8;8;False
2023-01-29;3;68;29;3;7;False
2023-01-30;2;64;21;1;11;False
2023-01-31;3;55;20;1;10;False
