date;Bill Gates;National disability insurance scheme;england;ryan reynolds;air travel;isPartial
2023-01-01;1;0;55;3;1;False
2023-01-02;1;0;61;3;1;False
2023-01-03;1;0;62;2;1;False
2023-01-04;1;0;61;1;1;False
2023-01-05;1;0;57;3;1;False
2023-01-06;1;0;61;2;1;False
2023-01-07;1;0;53;6;1;False
2023-01-08;1;0;64;6;1;False
2023-01-09;1;0;66;2;1;False
2023-01-10;1;0;62;2;1;False
2023-01-11;1;0;65;2;1;False
2023-01-12;1;0;68;2;1;False
2023-01-13;1;0;55;2;1;False
2023-01-14;1;0;61;3;1;False
2023-01-15;1;0;68;2;1;False
2023-01-16;1;0;66;1;1;False
2023-01-17;1;0;72;1;1;False
2023-01-18;1;0;62;1;1;False
2023-01-19;1;0;58;2;1;False
2023-01-20;1;0;56;2;1;False
2023-01-21;1;0;54;2;1;False
2023-01-22;1;0;64;2;1;False
2023-01-23;1;0;73;2;1;False
2023-01-24;1;0;59;2;1;False
2023-01-25;1;0;56;2;1;False
2023-01-26;1;0;55;2;1;False
2023-01-27;1;0;77;2;1;False
2023-01-28;1;0;54;3;1;False
2023-01-29;1;0;100;47;1;False
2023-01-30;1;0;70;14;1;False
2023-01-31;1;0;65;6;1;False
