date;David Byrne;air travel;isPartial
2023-01-01;66;76;False
2023-01-02;47;90;False
2023-01-03;27;59;False
2023-01-04;73;89;False
2023-01-05;80;73;False
2023-01-06;38;73;False
2023-01-07;32;53;False
2023-01-08;21;84;False
2023-01-09;21;50;False
2023-01-10;21;79;False
2023-01-11;28;90;False
2023-01-12;0;75;False
2023-01-13;8;60;False
2023-01-14;21;56;False
2023-01-15;12;66;False
2023-01-16;0;68;False
2023-01-17;16;56;False
2023-01-18;11;80;False
2023-01-19;18;73;False
2023-01-20;0;59;False
2023-01-21;23;63;False
2023-01-22;18;70;False
2023-01-23;0;72;False
2023-01-24;11;55;False
2023-01-25;17;75;False
2023-01-26;9;68;False
2023-01-27;11;47;False
2023-01-28;0;66;False
2023-01-29;12;60;False
2023-01-30;0;100;False
2023-01-31;0;84;False
