date;Ebrahim Raisi;The Crown;Queensland holidays;Guardian US press office;air travel;isPartial
2023-01-01;0;100;0;0;10;False
2023-01-02;0;82;1;0;11;False
2023-01-03;0;67;1;0;7;False
2023-01-04;0;68;0;0;11;False
2023-01-05;0;65;0;0;9;False
2023-01-06;0;66;0;0;9;False
2023-01-07;0;73;0;0;7;False
2023-01-08;0;91;0;0;11;False
2023-01-09;0;72;0;0;6;False
2023-01-10;0;63;0;0;10;False
2023-01-11;1;66;0;0;11;False
2023-01-12;0;63;0;0;9;False
2023-01-13;1;65;0;0;8;False
2023-01-14;1;74;0;0;7;False
2023-01-15;0;84;1;0;8;False
2023-01-16;0;58;0;0;9;False
2023-01-17;0;57;1;0;7;False
2023-01-18;2;58;0;0;10;False
2023-01-19;1;56;0;0;9;False
2023-01-20;3;64;0;0;7;False
2023-01-21;0;75;0;0;8;False
2023-01-22;0;70;0;0;9;False
2023-01-23;0;58;0;0;9;False
2023-01-24;0;67;0;0;7;False
2023-01-25;0;63;0;0;10;False
2023-01-26;0;55;0;0;9;False
2023-01-27;0;63;1;0;6;False
2023-01-28;0;73;0;0;8;False
2023-01-29;0;69;0;0;8;False
2023-01-30;1;62;2;0;13;False
2023-01-31;0;51;0;0;11;False
