date;Tom Tugendhat;Home Office;Government borrowing;alec baldwin;air travel;isPartial
2023-01-01;0;11;0;2;4;False
2023-01-02;0;17;0;2;5;False
2023-01-03;0;23;0;1;3;False
2023-01-04;0;23;0;2;5;False
2023-01-05;0;21;0;2;4;False
2023-01-06;1;18;0;1;4;False
2023-01-07;0;15;0;1;3;False
2023-01-08;0;15;0;3;5;False
2023-01-09;1;23;1;1;3;False
2023-01-10;0;22;0;1;5;False
2023-01-11;0;22;0;1;5;False
2023-01-12;0;21;1;1;4;False
2023-01-13;1;21;0;1;3;False
2023-01-14;0;14;0;3;3;False
2023-01-15;0;16;0;2;4;False
2023-01-16;0;25;0;1;4;False
2023-01-17;0;22;0;1;3;False
2023-01-18;0;20;0;1;5;False
2023-01-19;0;21;0;100;4;False
2023-01-20;0;21;0;58;3;False
2023-01-21;0;14;0;24;4;False
2023-01-22;0;16;0;15;4;False
2023-01-23;0;25;0;9;4;False
2023-01-24;0;23;1;7;3;False
2023-01-25;0;23;0;5;4;False
2023-01-26;0;22;0;6;4;False
2023-01-27;1;21;0;5;3;False
2023-01-28;0;14;0;9;4;False
2023-01-29;2;17;0;7;4;False
2023-01-30;0;23;0;4;6;False
2023-01-31;0;22;0;11;5;False
