date;Libel reform;SSE;Immunology;Seattle;air travel;isPartial
2023-01-01;0;43;1;28;9;False
2023-01-02;0;70;2;28;11;False
2023-01-03;0;97;1;23;7;False
2023-01-04;1;84;3;19;11;False
2023-01-05;0;89;3;20;9;False
2023-01-06;0;79;3;15;9;False
2023-01-07;0;43;2;88;6;False
2023-01-08;0;36;2;30;10;False
2023-01-09;0;69;4;22;6;False
2023-01-10;0;70;3;16;10;False
2023-01-11;0;69;5;18;11;False
2023-01-12;0;62;4;14;9;False
2023-01-13;0;68;3;18;7;False
2023-01-14;0;47;1;27;7;False
2023-01-15;0;35;1;26;8;False
2023-01-16;0;87;1;19;8;False
2023-01-17;0;79;4;17;7;False
2023-01-18;2;85;4;18;10;False
2023-01-19;0;88;4;16;9;False
2023-01-20;0;100;3;18;7;False
2023-01-21;2;65;2;17;8;False
2023-01-22;0;46;3;21;9;False
2023-01-23;0;97;3;21;9;False
2023-01-24;0;84;2;18;7;False
2023-01-25;0;91;3;21;9;False
2023-01-26;0;76;3;19;8;False
2023-01-27;0;81;4;18;6;False
2023-01-28;1;51;2;18;8;False
2023-01-29;0;53;3;22;7;False
2023-01-30;0;100;4;18;12;False
2023-01-31;0;81;2;18;10;False
