date;Manufacturing sector;London Marathon;Australian military;Condé Nast;air travel;isPartial
2023-01-01;0;75;0;0;44;False
2023-01-02;0;100;0;0;52;False
2023-01-03;5;88;0;0;34;False
2023-01-04;0;75;0;0;51;False
2023-01-05;0;64;0;0;42;False
2023-01-06;0;64;4;0;42;False
2023-01-07;0;61;0;0;31;False
2023-01-08;4;87;0;0;49;False
2023-01-09;0;79;0;6;29;False
2023-01-10;4;66;0;0;46;False
2023-01-11;3;67;8;0;52;False
2023-01-12;0;61;0;0;43;False
2023-01-13;0;64;0;0;35;False
2023-01-14;0;62;0;0;32;False
2023-01-15;0;73;0;0;38;False
2023-01-16;5;71;3;0;40;False
2023-01-17;0;50;8;0;32;False
2023-01-18;5;41;4;4;46;False
2023-01-19;0;32;4;4;42;False
2023-01-20;5;62;0;0;34;False
2023-01-21;4;51;0;0;36;False
2023-01-22;0;60;5;0;41;False
2023-01-23;0;76;0;0;42;False
2023-01-24;3;65;0;0;32;False
2023-01-25;0;64;0;0;44;False
2023-01-26;0;44;0;0;39;False
2023-01-27;0;74;0;0;27;False
2023-01-28;0;87;0;4;38;False
2023-01-29;0;62;0;0;35;False
2023-01-30;3;64;0;0;58;False
2023-01-31;5;71;0;9;49;False
