date;Joan Rivers;Adult literacy;universities;Virgin Galactic;air travel;isPartial
2023-01-01;2;0;49;3;20;False
2023-01-02;3;0;67;3;24;False
2023-01-03;0;2;61;2;16;False
2023-01-04;5;0;69;9;24;False
2023-01-05;3;0;74;6;19;False
2023-01-06;4;0;78;9;20;False
2023-01-07;0;0;56;1;14;False
2023-01-08;0;2;72;6;23;False
2023-01-09;2;0;83;34;13;False
2023-01-10;0;0;92;20;21;False
2023-01-11;2;0;90;12;24;False
2023-01-12;1;1;86;5;20;False
2023-01-13;4;2;87;7;16;False
2023-01-14;5;0;84;7;15;False
2023-01-15;4;0;71;5;18;False
2023-01-16;0;1;98;7;18;False
2023-01-17;3;0;97;5;15;False
2023-01-18;0;1;95;3;21;False
2023-01-19;5;0;87;5;19;False
2023-01-20;3;3;77;2;16;False
2023-01-21;5;0;60;3;17;False
2023-01-22;7;0;90;4;19;False
2023-01-23;3;3;95;4;19;False
2023-01-24;2;1;98;0;15;False
2023-01-25;3;1;100;2;20;False
2023-01-26;2;2;85;4;18;False
2023-01-27;4;0;78;4;13;False
2023-01-28;8;3;67;4;18;False
2023-01-29;3;0;69;0;16;False
2023-01-30;3;0;81;4;27;False
2023-01-31;0;2;90;4;22;False
