date;Dance;Asthma;London Underground;Sydney Opera House;air travel;isPartial
2023-01-01;100;8;11;1;3;False
2023-01-02;86;11;11;0;3;False
2023-01-03;82;12;12;1;2;False
2023-01-04;76;14;10;1;3;False
2023-01-05;73;11;11;1;3;False
2023-01-06;82;11;10;0;3;False
2023-01-07;90;9;11;0;2;False
2023-01-08;86;9;9;1;3;False
2023-01-09;75;12;9;0;2;False
2023-01-10;75;12;10;0;3;False
2023-01-11;78;13;9;1;3;False
2023-01-12;78;11;9;1;3;False
2023-01-13;82;12;10;0;2;False
2023-01-14;89;9;10;0;2;False
2023-01-15;85;9;10;0;2;False
2023-01-16;72;13;9;1;2;False
2023-01-17;74;14;9;0;2;False
2023-01-18;75;12;10;0;3;False
2023-01-19;70;13;9;1;3;False
2023-01-20;82;11;9;0;2;False
2023-01-21;92;10;12;1;2;False
2023-01-22;85;10;9;0;2;False
2023-01-23;75;13;12;0;2;False
2023-01-24;75;14;11;0;2;False
2023-01-25;71;13;9;1;3;False
2023-01-26;73;13;9;0;2;False
2023-01-27;79;11;11;0;2;False
2023-01-28;83;8;11;0;2;False
2023-01-29;84;9;9;0;2;False
2023-01-30;77;14;10;1;3;False
2023-01-31;73;14;11;0;3;False
