date;Parkinson's disease;champions league;GMB union;Anna Politkovskaya;air travel;isPartial
2023-01-01;2;95;0;0;12;False
2023-01-02;3;91;1;0;14;False
2023-01-03;1;78;3;0;9;False
2023-01-04;0;69;3;0;13;False
2023-01-05;3;73;3;0;11;False
2023-01-06;3;80;2;0;11;False
2023-01-07;2;74;0;0;8;False
2023-01-08;3;95;1;0;13;False
2023-01-09;1;83;3;0;8;False
2023-01-10;3;73;5;0;12;False
2023-01-11;2;73;10;0;14;False
2023-01-12;2;82;2;0;11;False
2023-01-13;2;69;2;0;9;False
2023-01-14;1;100;0;2;9;False
2023-01-15;2;98;3;0;10;False
2023-01-16;0;71;4;0;10;False
2023-01-17;2;72;3;0;8;False
2023-01-18;2;61;5;0;12;False
2023-01-19;3;80;5;1;11;False
2023-01-20;3;65;4;0;9;False
2023-01-21;0;80;0;0;10;False
2023-01-22;0;88;1;0;11;False
2023-01-23;3;77;6;1;11;False
2023-01-24;4;73;5;0;8;False
2023-01-25;3;79;9;0;11;False
2023-01-26;1;63;3;0;10;False
2023-01-27;4;74;6;1;7;False
2023-01-28;2;72;5;0;10;False
2023-01-29;0;96;2;0;9;False
2023-01-30;2;75;3;0;15;False
2023-01-31;1;74;7;0;13;False
