date;Helena Bonham Carter;X;Memphis Grizzlies;Numeracy;air travel;isPartial
2023-01-01;2;84;0;0;1;False
2023-01-02;1;96;0;0;1;False
2023-01-03;1;85;0;0;1;False
2023-01-04;1;82;0;0;1;False
2023-01-05;0;83;0;0;1;False
2023-01-06;0;83;0;0;1;False
2023-01-07;1;85;0;0;1;False
2023-01-08;1;98;0;0;1;False
2023-01-09;2;83;0;0;1;False
2023-01-10;1;85;0;1;1;False
2023-01-11;1;81;0;1;1;False
2023-01-12;1;84;0;1;1;False
2023-01-13;1;75;0;0;1;False
2023-01-14;2;86;0;0;1;False
2023-01-15;1;97;0;0;1;False
2023-01-16;1;90;0;1;1;False
2023-01-17;1;82;0;0;1;False
2023-01-18;1;83;0;0;1;False
2023-01-19;1;86;0;0;1;False
2023-01-20;9;81;0;0;1;False
2023-01-21;6;92;0;0;1;False
2023-01-22;3;91;0;0;1;False
2023-01-23;1;88;0;1;1;False
2023-01-24;2;86;0;1;1;False
2023-01-25;2;80;0;0;1;False
2023-01-26;1;79;0;0;1;False
2023-01-27;2;83;0;0;1;False
2023-01-28;2;83;0;0;1;False
2023-01-29;2;100;0;0;1;False
2023-01-30;1;87;0;0;1;False
2023-01-31;1;85;0;0;1;False
