date;The Last of Us;Empire State Building, New York, US;climate change;EDF Energy;air travel;isPartial
2023-01-01;9;0;2;2;1;False
2023-01-02;6;0;2;3;1;False
2023-01-03;6;0;3;5;1;False
2023-01-04;5;0;4;4;1;False
2023-01-05;6;0;4;3;1;False
2023-01-06;6;0;4;3;1;False
2023-01-07;6;0;2;3;1;False
2023-01-08;7;0;3;2;1;False
2023-01-09;6;0;4;3;1;False
2023-01-10;20;0;4;4;1;False
2023-01-11;15;0;4;3;1;False
2023-01-12;11;0;5;4;1;False
2023-01-13;12;0;3;3;1;False
2023-01-14;17;0;2;2;1;False
2023-01-15;29;0;3;2;1;False
2023-01-16;100;0;5;3;1;False
2023-01-17;76;0;4;3;1;False
2023-01-18;48;0;4;4;1;False
2023-01-19;34;0;5;3;1;False
2023-01-20;34;0;3;3;1;False
2023-01-21;39;0;2;2;1;False
2023-01-22;43;0;2;2;1;False
2023-01-23;59;0;4;6;1;False
2023-01-24;41;0;5;3;1;False
2023-01-25;32;0;4;3;1;False
2023-01-26;26;0;4;4;1;False
2023-01-27;25;0;3;3;1;False
2023-01-28;32;0;2;2;1;False
2023-01-29;34;0;2;2;1;False
2023-01-30;72;0;4;4;2;False
2023-01-31;53;0;4;3;1;False
