date;Dating;Boating holidays;Welfare;Indigenous art;air travel;isPartial
2023-01-01;90;1;10;0;6;False
2023-01-02;97;0;14;0;7;False
2023-01-03;89;0;19;0;4;False
2023-01-04;91;1;21;0;7;False
2023-01-05;78;0;20;0;5;False
2023-01-06;83;0;18;0;5;False
2023-01-07;95;0;13;1;4;False
2023-01-08;97;0;12;0;6;False
2023-01-09;68;0;22;0;4;False
2023-01-10;70;2;24;0;6;False
2023-01-11;71;0;20;0;7;False
2023-01-12;74;0;24;0;5;False
2023-01-13;69;0;20;0;4;False
2023-01-14;78;0;13;2;4;False
2023-01-15;99;0;13;0;5;False
2023-01-16;76;0;23;0;5;False
2023-01-17;72;0;21;1;4;False
2023-01-18;79;0;24;0;6;False
2023-01-19;100;0;21;0;5;False
2023-01-20;93;1;22;1;4;False
2023-01-21;88;0;13;0;5;False
2023-01-22;97;1;13;1;5;False
2023-01-23;70;0;24;0;5;False
2023-01-24;72;1;24;0;4;False
2023-01-25;70;0;22;1;6;False
2023-01-26;64;0;24;0;5;False
2023-01-27;70;0;18;0;3;False
2023-01-28;75;0;12;0;5;False
2023-01-29;98;0;14;0;4;False
2023-01-30;68;1;22;0;7;False
2023-01-31;68;1;21;0;6;False
