date;Eddie Jones;Sacramento Kings;Episode recaps;vietnam;air travel;isPartial
2023-01-01;2;0;0;81;13;False
2023-01-02;0;2;0;94;15;False
2023-01-03;0;0;0;85;10;False
2023-01-04;0;3;0;83;15;False
2023-01-05;4;0;0;77;12;False
2023-01-06;2;3;0;89;12;False
2023-01-07;2;1;0;79;9;False
2023-01-08;2;3;2;92;14;False
2023-01-09;0;0;0;87;8;False
2023-01-10;0;1;0;77;13;False
2023-01-11;1;1;1;69;15;False
2023-01-12;1;0;0;93;13;False
2023-01-13;2;0;0;76;10;False
2023-01-14;1;1;0;66;9;False
2023-01-15;12;0;0;91;11;False
2023-01-16;47;2;0;84;12;False
2023-01-17;17;0;0;79;9;False
2023-01-18;7;0;0;67;14;False
2023-01-19;6;0;0;71;12;False
2023-01-20;4;0;0;77;10;False
2023-01-21;4;0;0;81;11;False
2023-01-22;3;0;0;100;12;False
2023-01-23;3;1;0;86;12;False
2023-01-24;3;2;0;73;9;False
2023-01-25;2;1;0;65;13;False
2023-01-26;2;1;0;67;11;False
2023-01-27;1;0;0;66;8;False
2023-01-28;1;4;0;71;11;False
2023-01-29;2;1;0;82;10;False
2023-01-30;0;2;0;71;17;False
2023-01-31;2;1;0;75;14;False
