date;International criminal justice;animals;ian king;egypt;air travel;isPartial
2023-01-01;0;58;0;41;4;False
2023-01-02;1;56;0;46;5;False
2023-01-03;0;55;0;41;3;False
2023-01-04;0;57;0;44;5;False
2023-01-05;0;57;0;43;4;False
2023-01-06;0;56;0;52;4;False
2023-01-07;0;55;0;39;3;False
2023-01-08;1;62;0;45;4;False
2023-01-09;0;55;0;43;3;False
2023-01-10;0;62;1;43;4;False
2023-01-11;0;66;0;41;5;False
2023-01-12;0;69;0;46;4;False
2023-01-13;0;62;1;35;3;False
2023-01-14;1;54;0;40;3;False
2023-01-15;0;68;0;45;3;False
2023-01-16;0;65;0;41;4;False
2023-01-17;0;70;0;40;3;False
2023-01-18;0;67;0;38;4;False
2023-01-19;0;69;0;38;4;False
2023-01-20;0;84;1;37;3;False
2023-01-21;0;75;0;39;3;False
2023-01-22;0;100;0;42;4;False
2023-01-23;0;81;0;40;4;False
2023-01-24;0;76;0;40;3;False
2023-01-25;0;73;0;41;4;False
2023-01-26;0;65;0;38;3;False
2023-01-27;0;63;0;37;2;False
2023-01-28;0;57;0;35;3;False
2023-01-29;0;68;0;43;3;False
2023-01-30;0;70;0;40;5;False
2023-01-31;0;60;1;41;4;False
