date;Ben Stokes;merseyside;NatWest Group;europe;air travel;isPartial
2023-01-01;2;6;1;91;4;False
2023-01-02;0;7;1;93;4;False
2023-01-03;1;9;1;99;3;False
2023-01-04;1;7;0;100;4;False
2023-01-05;1;6;1;94;4;False
2023-01-06;0;8;1;88;4;False
2023-01-07;0;5;0;85;3;False
2023-01-08;1;7;1;99;4;False
2023-01-09;0;6;1;96;2;False
2023-01-10;0;8;1;95;4;False
2023-01-11;0;8;0;92;4;False
2023-01-12;1;9;1;93;4;False
2023-01-13;1;8;1;89;3;False
2023-01-14;1;9;0;86;3;False
2023-01-15;0;5;1;94;3;False
2023-01-16;1;8;1;94;3;False
2023-01-17;0;7;0;91;3;False
2023-01-18;1;8;1;99;4;False
2023-01-19;0;9;0;95;4;False
2023-01-20;1;8;1;93;3;False
2023-01-21;1;8;0;82;3;False
2023-01-22;0;6;0;91;3;False
2023-01-23;0;8;1;98;3;False
2023-01-24;0;6;1;95;3;False
2023-01-25;1;8;1;90;4;False
2023-01-26;1;7;2;88;3;False
2023-01-27;1;7;1;88;2;False
2023-01-28;1;5;1;81;3;False
2023-01-29;0;7;0;87;3;False
2023-01-30;0;9;1;93;5;False
2023-01-31;0;9;1;87;4;False
