date;Jeans;Mamma Mia!;Queen Victoria;The Guardian;air travel;isPartial
2023-01-01;74;0;5;38;3;False
2023-01-02;77;0;5;38;3;False
2023-01-03;63;0;6;38;2;False
2023-01-04;63;0;5;38;3;False
2023-01-05;65;0;5;46;3;False
2023-01-06;63;0;6;42;3;False
2023-01-07;74;0;7;36;2;False
2023-01-08;71;0;7;38;3;False
2023-01-09;61;0;7;46;2;False
2023-01-10;59;1;7;40;3;False
2023-01-11;58;0;9;39;3;False
2023-01-12;62;0;7;41;3;False
2023-01-13;58;0;7;36;2;False
2023-01-14;73;0;8;34;2;False
2023-01-15;71;0;6;34;3;False
2023-01-16;59;0;5;38;3;False
2023-01-17;56;0;4;40;2;False
2023-01-18;60;0;6;38;3;False
2023-01-19;57;0;5;37;3;False
2023-01-20;63;0;5;41;2;False
2023-01-21;100;0;4;37;2;False
2023-01-22;81;0;6;39;3;False
2023-01-23;66;0;4;40;3;False
2023-01-24;64;0;5;40;2;False
2023-01-25;63;0;4;38;3;False
2023-01-26;61;0;5;36;3;False
2023-01-27;64;0;3;39;2;False
2023-01-28;76;0;5;34;3;False
2023-01-29;81;0;5;34;2;False
2023-01-30;64;0;5;41;4;False
2023-01-31;62;0;5;38;3;False
