date;syria;The FA;Hillsborough disaster;Stan;air travel;isPartial
2023-01-01;7;5;1;24;5;False
2023-01-02;6;5;1;17;6;False
2023-01-03;6;8;1;17;4;False
2023-01-04;4;8;0;16;6;False
2023-01-05;6;10;3;15;5;False
2023-01-06;4;32;0;14;5;False
2023-01-07;5;91;4;18;3;False
2023-01-08;5;100;1;20;5;False
2023-01-09;6;28;2;15;3;False
2023-01-10;11;16;0;16;5;False
2023-01-11;7;12;1;14;6;False
2023-01-12;7;10;1;14;5;False
2023-01-13;4;7;1;16;4;False
2023-01-14;5;9;1;18;3;False
2023-01-15;3;7;1;17;4;False
2023-01-16;4;10;1;17;4;False
2023-01-17;5;21;1;15;3;False
2023-01-18;5;17;0;15;5;False
2023-01-19;4;7;1;15;5;False
2023-01-20;5;7;0;16;4;False
2023-01-21;4;8;1;19;4;False
2023-01-22;4;9;0;16;4;False
2023-01-23;6;7;0;16;4;False
2023-01-24;6;10;0;15;3;False
2023-01-25;6;16;1;17;5;False
2023-01-26;4;13;1;17;4;False
2023-01-27;5;37;0;15;3;False
2023-01-28;5;67;1;17;4;False
2023-01-29;6;83;1;18;4;False
2023-01-30;6;58;1;15;6;False
2023-01-31;7;19;15;16;5;False
