date;Birds;derbyshire;DH Lawrence;Banks and building societies;air travel;isPartial
2023-01-01;45;27;1;0;4;False
2023-01-02;42;25;1;1;4;False
2023-01-03;35;34;0;0;3;False
2023-01-04;39;31;0;0;4;False
2023-01-05;34;34;0;0;4;False
2023-01-06;40;34;1;0;4;False
2023-01-07;40;23;1;0;3;False
2023-01-08;46;26;0;0;4;False
2023-01-09;38;29;0;0;2;False
2023-01-10;35;32;0;0;4;False
2023-01-11;38;38;0;0;4;False
2023-01-12;37;33;0;0;4;False
2023-01-13;36;28;0;0;3;False
2023-01-14;100;23;0;0;3;False
2023-01-15;48;26;1;0;3;False
2023-01-16;39;29;0;0;3;False
2023-01-17;43;30;0;0;3;False
2023-01-18;42;30;1;0;4;False
2023-01-19;44;27;1;0;3;False
2023-01-20;43;27;1;0;3;False
2023-01-21;79;24;0;0;3;False
2023-01-22;64;25;1;0;3;False
2023-01-23;49;29;0;0;3;False
2023-01-24;46;28;0;0;3;False
2023-01-25;39;27;0;0;4;False
2023-01-26;41;28;0;0;3;False
2023-01-27;45;25;0;0;2;False
2023-01-28;53;21;0;0;3;False
2023-01-29;51;27;2;0;3;False
2023-01-30;48;31;0;0;5;False
2023-01-31;44;26;1;0;4;False
