date;Trainspotting;Angry Birds;Family;Rich lists;air travel;isPartial
2023-01-01;1;1;87;0;1;False
2023-01-02;0;1;84;0;1;False
2023-01-03;0;1;75;0;1;False
2023-01-04;1;1;76;0;1;False
2023-01-05;0;1;70;0;1;False
2023-01-06;1;1;70;0;1;False
2023-01-07;1;1;74;0;1;False
2023-01-08;1;1;87;0;1;False
2023-01-09;1;0;70;0;1;False
2023-01-10;0;0;75;0;1;False
2023-01-11;1;1;66;0;1;False
2023-01-12;0;1;75;0;1;False
2023-01-13;1;0;68;0;1;False
2023-01-14;1;1;100;0;1;False
2023-01-15;1;1;82;0;1;False
2023-01-16;1;0;67;0;1;False
2023-01-17;1;0;65;0;1;False
2023-01-18;1;1;64;0;1;False
2023-01-19;0;0;65;0;1;False
2023-01-20;1;0;67;0;1;False
2023-01-21;1;1;77;0;1;False
2023-01-22;1;0;79;0;1;False
2023-01-23;1;0;69;0;1;False
2023-01-24;0;1;69;0;1;False
2023-01-25;1;1;63;0;1;False
2023-01-26;1;1;62;0;1;False
2023-01-27;1;0;61;0;1;False
2023-01-28;1;1;64;0;1;False
2023-01-29;1;0;73;0;1;False
2023-01-30;1;0;68;0;1;False
2023-01-31;1;1;66;0;1;False
