date;Cake;Devon;Higher education;Vinyl;air travel;isPartial
2023-01-01;62;29;1;22;2;False
2023-01-02;61;30;1;23;2;False
2023-01-03;58;31;2;23;1;False
2023-01-04;58;29;2;22;2;False
2023-01-05;65;29;2;21;1;False
2023-01-06;65;29;2;24;1;False
2023-01-07;81;28;1;26;1;False
2023-01-08;85;31;1;26;2;False
2023-01-09;62;30;2;20;1;False
2023-01-10;66;28;2;22;2;False
2023-01-11;62;29;2;21;2;False
2023-01-12;64;32;2;23;1;False
2023-01-13;67;28;1;24;1;False
2023-01-14;87;28;1;27;1;False
2023-01-15;78;29;1;26;1;False
2023-01-16;67;29;2;20;1;False
2023-01-17;62;30;2;20;1;False
2023-01-18;69;32;2;20;2;False
2023-01-19;67;29;2;20;1;False
2023-01-20;73;27;2;24;1;False
2023-01-21;100;27;1;27;1;False
2023-01-22;97;28;1;25;1;False
2023-01-23;67;30;2;22;1;False
2023-01-24;72;30;2;22;1;False
2023-01-25;68;30;2;21;1;False
2023-01-26;68;27;1;23;1;False
2023-01-27;70;27;2;23;1;False
2023-01-28;98;27;1;25;1;False
2023-01-29;93;31;1;23;1;False
2023-01-30;70;30;2;22;2;False
2023-01-31;66;29;2;20;2;False
