date;NFL;Whisky;Muriel Spark;Next;air travel;isPartial
2023-01-01;32;5;0;99;1;False
2023-01-02;22;4;0;100;1;False
2023-01-03;21;4;0;86;1;False
2023-01-04;9;4;0;89;1;False
2023-01-05;7;4;0;88;1;False
2023-01-06;8;5;0;85;1;False
2023-01-07;13;5;0;89;0;False
2023-01-08;43;4;0;93;1;False
2023-01-09;25;4;0;75;0;False
2023-01-10;9;4;0;80;1;False
2023-01-11;6;4;0;76;1;False
2023-01-12;6;4;0;79;1;False
2023-01-13;7;5;0;75;1;False
2023-01-14;20;5;0;91;0;False
2023-01-15;55;4;0;87;1;False
2023-01-16;25;4;0;79;1;False
2023-01-17;18;4;0;80;0;False
2023-01-18;7;4;0;79;1;False
2023-01-19;8;4;0;74;1;False
2023-01-20;7;4;0;81;1;False
2023-01-21;22;6;0;85;1;False
2023-01-22;52;5;0;90;1;False
2023-01-23;24;5;0;88;1;False
2023-01-24;7;4;0;79;0;False
2023-01-25;5;7;0;75;1;False
2023-01-26;5;4;0;72;1;False
2023-01-27;7;5;0;83;0;False
2023-01-28;9;5;0;81;1;False
2023-01-29;35;4;0;86;1;False
2023-01-30;24;4;0;79;1;False
2023-01-31;5;4;0;76;1;False
