date;south sudan;Global recession;US press and publishing;Jeremy Hardy;air travel;isPartial
2023-01-01;17;0;0;0;46;False
2023-01-02;10;0;0;0;54;False
2023-01-03;13;0;0;7;35;False
2023-01-04;7;3;0;0;53;False
2023-01-05;6;0;0;0;44;False
2023-01-06;100;8;0;6;44;False
2023-01-07;76;0;0;4;32;False
2023-01-08;37;0;0;0;51;False
2023-01-09;16;0;0;0;30;False
2023-01-10;9;0;0;0;47;False
2023-01-11;18;9;0;0;54;False
2023-01-12;8;0;0;0;45;False
2023-01-13;11;0;0;0;36;False
2023-01-14;12;3;0;0;34;False
2023-01-15;18;11;0;0;40;False
2023-01-16;17;0;0;0;41;False
2023-01-17;13;0;0;5;33;False
2023-01-18;13;0;0;0;48;False
2023-01-19;15;0;0;0;44;False
2023-01-20;10;0;0;4;35;False
2023-01-21;9;0;0;0;38;False
2023-01-22;0;0;0;0;42;False
2023-01-23;11;0;0;3;43;False
2023-01-24;10;0;0;7;33;False
2023-01-25;23;0;0;3;45;False
2023-01-26;14;5;0;9;41;False
2023-01-27;17;0;0;0;28;False
2023-01-28;7;0;0;0;40;False
2023-01-29;0;0;0;0;36;False
2023-01-30;14;0;0;0;60;False
2023-01-31;14;5;0;0;50;False
