date;Wet Leg;el chapo;hydrogen;British Steel;air travel;isPartial
2023-01-01;2;2;24;1;10;False
2023-01-02;2;5;36;1;12;False
2023-01-03;2;1;43;2;7;False
2023-01-04;3;3;46;2;11;False
2023-01-05;3;24;44;3;9;False
2023-01-06;3;100;31;3;9;False
2023-01-07;1;43;31;1;7;False
2023-01-08;0;22;39;3;11;False
2023-01-09;3;17;47;5;6;False
2023-01-10;3;9;48;2;10;False
2023-01-11;3;7;52;3;11;False
2023-01-12;23;8;47;3;9;False
2023-01-13;14;6;40;3;8;False
2023-01-14;8;12;32;3;7;False
2023-01-15;6;14;42;2;8;False
2023-01-16;5;8;56;3;9;False
2023-01-17;7;9;44;3;7;False
2023-01-18;3;5;52;2;10;False
2023-01-19;3;8;48;1;9;False
2023-01-20;3;4;47;9;8;False
2023-01-21;4;6;40;6;8;False
2023-01-22;3;7;36;4;9;False
2023-01-23;3;6;49;6;9;False
2023-01-24;5;7;52;4;7;False
2023-01-25;3;5;47;3;10;False
2023-01-26;3;4;49;3;9;False
2023-01-27;4;4;39;4;6;False
2023-01-28;3;5;30;0;8;False
2023-01-29;2;7;36;1;8;False
2023-01-30;2;5;53;2;13;False
2023-01-31;4;6;47;3;11;False
