date;France rugby union team;Vladimir Putin;Alex Murdaugh;West Ham United;air travel;isPartial
2023-01-01;0;5;0;5;7;False
2023-01-02;1;7;0;5;8;False
2023-01-03;0;7;0;4;5;False
2023-01-04;0;3;0;100;8;False
2023-01-05;0;4;0;22;7;False
2023-01-06;0;4;0;8;7;False
2023-01-07;0;5;0;10;5;False
2023-01-08;0;3;0;6;8;False
2023-01-09;0;3;0;4;5;False
2023-01-10;0;5;0;6;7;False
2023-01-11;0;2;0;4;8;False
2023-01-12;0;2;0;4;7;False
2023-01-13;0;3;0;6;5;False
2023-01-14;0;5;0;14;5;False
2023-01-15;0;2;0;6;6;False
2023-01-16;0;2;0;7;6;False
2023-01-17;0;4;0;5;5;False
2023-01-18;1;5;0;5;7;False
2023-01-19;0;14;1;6;7;False
2023-01-20;0;24;0;9;5;False
2023-01-21;1;14;1;16;6;False
2023-01-22;0;5;0;8;6;False
2023-01-23;0;7;3;5;7;False
2023-01-24;0;5;2;4;5;False
2023-01-25;0;5;1;5;7;False
2023-01-26;0;7;4;4;6;False
2023-01-27;0;5;5;5;4;False
2023-01-28;0;5;4;5;6;False
2023-01-29;0;10;1;5;6;False
2023-01-30;0;10;3;16;9;False
2023-01-31;0;6;3;10;8;False
