date;Guardian Masterclasses;Income tax;Post Office;Horse racing tips;air travel;isPartial
2023-01-01;0;5;50;3;2;False
2023-01-02;0;9;94;2;2;False
2023-01-03;0;13;92;1;2;False
2023-01-04;0;12;80;1;2;False
2023-01-05;0;12;69;1;2;False
2023-01-06;0;11;76;2;2;False
2023-01-07;0;8;92;3;1;False
2023-01-08;0;8;46;2;2;False
2023-01-09;0;11;74;2;1;False
2023-01-10;0;13;68;1;2;False
2023-01-11;0;12;66;2;2;False
2023-01-12;0;15;65;2;2;False
2023-01-13;0;10;70;2;2;False
2023-01-14;0;8;95;3;1;False
2023-01-15;0;9;48;1;2;False
2023-01-16;0;12;78;2;2;False
2023-01-17;0;13;68;2;1;False
2023-01-18;1;13;66;1;2;False
2023-01-19;0;13;63;1;2;False
2023-01-20;0;12;73;3;2;False
2023-01-21;0;8;100;3;2;False
2023-01-22;0;10;43;2;2;False
2023-01-23;0;15;74;1;2;False
2023-01-24;0;15;67;1;1;False
2023-01-25;0;15;64;1;2;False
2023-01-26;0;16;59;2;2;False
2023-01-27;0;13;68;2;1;False
2023-01-28;0;10;87;3;2;False
2023-01-29;0;11;44;2;2;False
2023-01-30;0;19;72;2;3;False
2023-01-31;0;18;68;2;2;False
