date;Football tactics;Virgil Abloh;Modest Mouse;Royal commission into institutional responses to child sexual abuse;air travel;isPartial
2023-01-01;3;3;100;0;31;False
2023-01-02;8;0;50;0;36;False
2023-01-03;6;6;67;0;23;False
2023-01-04;8;0;8;0;35;False
2023-01-05;4;4;7;0;29;False
2023-01-06;6;6;0;0;29;False
2023-01-07;6;8;4;0;21;False
2023-01-08;7;5;4;0;34;False
2023-01-09;5;11;0;0;20;False
2023-01-10;0;7;0;0;32;False
2023-01-11;5;8;4;0;36;False
2023-01-12;3;6;0;0;30;False
2023-01-13;7;4;0;0;24;False
2023-01-14;0;5;0;0;22;False
2023-01-15;7;4;0;0;26;False
2023-01-16;3;4;0;0;27;False
2023-01-17;0;0;0;0;22;False
2023-01-18;7;3;6;0;32;False
2023-01-19;2;0;0;0;29;False
2023-01-20;4;4;3;0;24;False
2023-01-21;6;0;0;0;25;False
2023-01-22;2;0;0;0;28;False
2023-01-23;9;5;0;0;29;False
2023-01-24;6;4;2;0;22;False
2023-01-25;4;4;0;0;30;False
2023-01-26;0;3;0;0;27;False
2023-01-27;3;0;0;0;19;False
2023-01-28;0;4;0;0;26;False
2023-01-29;0;8;3;0;24;False
2023-01-30;3;5;2;0;40;False
2023-01-31;3;5;0;0;34;False
