date;Mike Leigh;Denver Broncos;Stamp duty;Black Panther;air travel;isPartial
2023-01-01;0;5;36;100;18;False
2023-01-02;0;5;49;80;21;False
2023-01-03;0;3;65;74;14;False
2023-01-04;0;1;75;71;20;False
2023-01-05;2;1;74;55;17;False
2023-01-06;0;0;80;65;17;False
2023-01-07;3;2;45;73;12;False
2023-01-08;0;7;64;54;20;False
2023-01-09;3;5;80;45;12;False
2023-01-10;2;3;90;51;18;False
2023-01-11;2;2;84;52;21;False
2023-01-12;0;1;85;45;17;False
2023-01-13;0;3;71;53;14;False
2023-01-14;0;5;59;62;13;False
2023-01-15;0;2;58;53;15;False
2023-01-16;2;3;72;39;16;False
2023-01-17;0;0;72;42;13;False
2023-01-18;2;3;71;35;18;False
2023-01-19;0;0;66;44;17;False
2023-01-20;1;2;82;49;14;False
2023-01-21;0;2;60;60;15;False
2023-01-22;3;4;58;66;16;False
2023-01-23;5;1;93;33;17;False
2023-01-24;1;0;86;46;13;False
2023-01-25;0;4;77;38;17;False
2023-01-26;2;7;78;35;16;False
2023-01-27;0;3;79;45;11;False
2023-01-28;0;5;64;47;15;False
2023-01-29;0;0;59;59;14;False
2023-01-30;0;0;96;41;23;False
2023-01-31;2;1;85;64;19;False
