date;jeremy renner;Museums;Sex Pistols;Financial crisis;air travel;isPartial
2023-01-01;1;5;1;0;2;False
2023-01-02;100;4;2;1;2;False
2023-01-03;86;5;1;1;1;False
2023-01-04;74;4;1;1;2;False
2023-01-05;34;4;1;1;2;False
2023-01-06;20;4;1;0;2;False
2023-01-07;14;6;1;1;1;False
2023-01-08;9;5;1;0;2;False
2023-01-09;5;4;1;1;1;False
2023-01-10;5;4;1;0;2;False
2023-01-11;4;3;1;1;2;False
2023-01-12;8;5;1;1;2;False
2023-01-13;12;5;1;1;1;False
2023-01-14;14;5;1;1;1;False
2023-01-15;12;5;1;0;2;False
2023-01-16;8;4;1;0;2;False
2023-01-17;12;4;0;0;1;False
2023-01-18;9;3;1;0;2;False
2023-01-19;9;4;0;1;2;False
2023-01-20;7;4;0;1;1;False
2023-01-21;12;5;1;1;1;False
2023-01-22;13;5;1;0;2;False
2023-01-23;6;4;1;1;2;False
2023-01-24;3;4;1;1;1;False
2023-01-25;4;4;1;1;2;False
2023-01-26;3;3;0;1;2;False
2023-01-27;10;4;1;0;1;False
2023-01-28;8;5;1;0;2;False
2023-01-29;3;5;1;1;1;False
2023-01-30;2;4;1;0;2;False
2023-01-31;2;5;1;0;2;False
