date;David Blunkett;wolverhampton;mark harper;Cryptocurrencies;air travel;isPartial
2023-01-01;0;72;0;0;5;False
2023-01-02;0;87;0;1;6;False
2023-01-03;0;82;2;0;4;False
2023-01-04;0;90;0;0;6;False
2023-01-05;0;79;0;0;5;False
2023-01-06;0;81;0;0;5;False
2023-01-07;0;81;0;0;3;False
2023-01-08;0;67;0;1;5;False
2023-01-09;0;82;1;1;3;False
2023-01-10;0;79;0;0;5;False
2023-01-11;0;80;1;0;6;False
2023-01-12;0;85;1;0;5;False
2023-01-13;0;73;1;0;4;False
2023-01-14;0;76;0;0;4;False
2023-01-15;0;71;3;0;4;False
2023-01-16;0;83;0;1;4;False
2023-01-17;0;100;0;0;4;False
2023-01-18;1;87;0;0;5;False
2023-01-19;0;82;0;0;5;False
2023-01-20;0;76;0;0;4;False
2023-01-21;1;79;0;1;4;False
2023-01-22;0;88;0;0;5;False
2023-01-23;1;87;0;0;5;False
2023-01-24;0;86;1;0;4;False
2023-01-25;2;82;1;0;5;False
2023-01-26;1;80;1;0;4;False
2023-01-27;0;81;0;0;3;False
2023-01-28;0;75;0;0;4;False
2023-01-29;0;69;2;0;4;False
2023-01-30;0;84;1;1;6;False
2023-01-31;1;85;0;0;5;False
