date;Disability royal commission;cost of living;Chatbots;Sussan Ley;air travel;isPartial
2023-01-01;0;36;1;0;6;False
2023-01-02;0;52;0;0;8;False
2023-01-03;0;100;0;0;5;False
2023-01-04;0;80;0;1;7;False
2023-01-05;0;60;0;0;6;False
2023-01-06;0;51;0;0;6;False
2023-01-07;0;31;1;0;4;False
2023-01-08;0;33;0;0;7;False
2023-01-09;0;53;0;1;4;False
2023-01-10;0;63;0;0;7;False
2023-01-11;0;51;0;0;7;False
2023-01-12;0;49;1;0;6;False
2023-01-13;0;45;0;0;5;False
2023-01-14;0;46;0;0;5;False
2023-01-15;0;44;0;0;6;False
2023-01-16;0;61;0;0;6;False
2023-01-17;0;51;1;1;5;False
2023-01-18;0;54;1;0;7;False
2023-01-19;0;52;1;0;6;False
2023-01-20;0;46;0;0;5;False
2023-01-21;0;35;1;1;5;False
2023-01-22;0;35;1;1;6;False
2023-01-23;0;51;1;0;6;False
2023-01-24;0;47;0;0;5;False
2023-01-25;0;52;0;0;6;False
2023-01-26;0;53;0;0;6;False
2023-01-27;0;43;0;0;4;False
2023-01-28;0;31;0;0;5;False
2023-01-29;0;34;0;0;5;False
2023-01-30;0;49;1;0;8;False
2023-01-31;0;55;1;0;7;False
