date;jeffrey epstein;The 1975;Hulu;The Go-Betweens;air travel;isPartial
2023-01-01;2;16;12;0;9;False
2023-01-02;7;14;10;0;11;False
2023-01-03;5;15;10;0;7;False
2023-01-04;4;17;7;0;11;False
2023-01-05;5;21;12;0;9;False
2023-01-06;4;19;9;1;9;False
2023-01-07;3;25;10;0;7;False
2023-01-08;4;28;9;0;10;False
2023-01-09;2;53;7;0;6;False
2023-01-10;2;44;8;0;10;False
2023-01-11;4;55;6;2;11;False
2023-01-12;5;67;6;0;9;False
2023-01-13;6;100;8;0;7;False
2023-01-14;2;54;13;0;7;False
2023-01-15;4;49;12;0;8;False
2023-01-16;2;49;10;1;8;False
2023-01-17;3;34;6;2;7;False
2023-01-18;3;33;8;0;10;False
2023-01-19;5;35;10;0;9;False
2023-01-20;3;45;8;0;7;False
2023-01-21;4;45;11;0;8;False
2023-01-22;4;41;11;1;9;False
2023-01-23;8;37;8;0;9;False
2023-01-24;6;31;9;0;7;False
2023-01-25;4;30;8;0;9;False
2023-01-26;4;45;9;0;8;False
2023-01-27;5;32;6;0;6;False
2023-01-28;3;27;10;0;8;False
2023-01-29;2;25;10;0;7;False
2023-01-30;3;28;6;0;12;False
2023-01-31;5;32;8;0;10;False
