date;Socialism;Leinster;Electoral reform;rio ferdinand;air travel;isPartial
2023-01-01;7;23;6;8;22;False
2023-01-02;10;16;0;8;26;False
2023-01-03;15;10;1;13;17;False
2023-01-04;12;8;0;9;26;False
2023-01-05;12;7;0;7;21;False
2023-01-06;16;6;0;10;21;False
2023-01-07;4;35;2;6;15;False
2023-01-08;7;12;0;4;25;False
2023-01-09;13;7;0;5;15;False
2023-01-10;7;10;0;4;23;False
2023-01-11;15;6;2;9;26;False
2023-01-12;12;5;3;0;22;False
2023-01-13;13;12;0;8;17;False
2023-01-14;17;100;0;25;16;False
2023-01-15;12;10;1;6;19;False
2023-01-16;13;7;0;14;20;False
2023-01-17;9;4;3;9;16;False
2023-01-18;15;0;0;10;23;False
2023-01-19;13;3;0;6;21;False
2023-01-20;12;12;3;7;17;False
2023-01-21;8;55;0;7;18;False
2023-01-22;14;9;0;8;20;False
2023-01-23;8;4;2;22;21;False
2023-01-24;17;6;0;8;16;False
2023-01-25;12;5;3;6;22;False
2023-01-26;11;7;2;7;20;False
2023-01-27;14;12;0;7;14;False
2023-01-28;10;23;0;9;19;False
2023-01-29;9;12;0;32;18;False
2023-01-30;10;8;3;22;29;False
2023-01-31;11;5;0;12;24;False
