date;Doja Cat;Sexuality;US gun control;Opioids;air travel;isPartial
2023-01-01;11;19;0;1;12;False
2023-01-02;8;14;0;2;14;False
2023-01-03;7;13;0;2;9;False
2023-01-04;6;15;1;3;14;False
2023-01-05;8;19;1;0;11;False
2023-01-06;9;23;0;3;11;False
2023-01-07;6;20;0;1;8;False
2023-01-08;6;19;0;1;13;False
2023-01-09;7;15;0;2;8;False
2023-01-10;7;14;1;0;12;False
2023-01-11;7;10;0;2;14;False
2023-01-12;8;12;0;3;11;False
2023-01-13;7;14;0;5;9;False
2023-01-14;10;15;0;7;9;False
2023-01-15;8;16;0;2;10;False
2023-01-16;5;16;0;1;10;False
2023-01-17;6;13;1;3;8;False
2023-01-18;7;17;0;5;12;False
2023-01-19;3;15;0;2;11;False
2023-01-20;5;12;1;3;9;False
2023-01-21;6;18;0;2;10;False
2023-01-22;9;17;0;2;11;False
2023-01-23;38;16;0;4;11;False
2023-01-24;100;18;2;2;8;False
2023-01-25;46;16;0;1;11;False
2023-01-26;25;14;1;2;10;False
2023-01-27;45;13;0;2;7;False
2023-01-28;13;15;0;1;10;False
2023-01-29;14;20;0;3;9;False
2023-01-30;8;16;1;10;15;False
2023-01-31;11;13;0;5;13;False
