date;JB Priestley;Burberry;Nintendo Switch;jeremy hunt;air travel;isPartial
2023-01-01;0;24;100;1;4;False
2023-01-02;0;18;87;0;5;False
2023-01-03;0;17;63;0;3;False
2023-01-04;0;16;50;1;5;False
2023-01-05;0;18;45;0;4;False
2023-01-06;0;20;52;1;4;False
2023-01-07;0;20;66;0;3;False
2023-01-08;0;21;71;1;5;False
2023-01-09;0;14;40;1;3;False
2023-01-10;0;17;39;1;4;False
2023-01-11;1;15;34;1;5;False
2023-01-12;1;16;35;0;4;False
2023-01-13;0;14;41;1;3;False
2023-01-14;0;16;54;1;3;False
2023-01-15;0;17;55;1;4;False
2023-01-16;0;17;37;1;4;False
2023-01-17;0;15;31;2;3;False
2023-01-18;0;16;31;4;4;False
2023-01-19;0;18;30;4;4;False
2023-01-20;1;14;38;2;3;False
2023-01-21;0;19;54;1;3;False
2023-01-22;0;20;53;1;4;False
2023-01-23;0;15;32;3;4;False
2023-01-24;0;15;34;1;3;False
2023-01-25;1;12;34;1;4;False
2023-01-26;0;17;33;2;4;False
2023-01-27;0;17;45;14;3;False
2023-01-28;0;17;58;13;4;False
2023-01-29;1;18;54;3;3;False
2023-01-30;0;18;37;2;5;False
2023-01-31;1;17;32;3;5;False
