date;Invasive species;Matt Kean;Andrew Lloyd Webber;Bob Dylan;air travel;isPartial
2023-01-01;0;0;36;88;58;False
2023-01-02;14;0;0;54;69;False
2023-01-03;4;0;6;47;45;False
2023-01-04;6;0;0;39;67;False
2023-01-05;0;0;9;57;55;False
2023-01-06;0;0;8;96;56;False
2023-01-07;0;0;14;65;41;False
2023-01-08;0;0;11;64;64;False
2023-01-09;13;0;5;37;38;False
2023-01-10;8;0;14;38;60;False
2023-01-11;0;4;0;42;68;False
2023-01-12;16;0;7;63;57;False
2023-01-13;11;0;6;75;46;False
2023-01-14;0;0;4;62;43;False
2023-01-15;0;12;21;52;50;False
2023-01-16;6;0;14;43;52;False
2023-01-17;4;0;4;61;42;False
2023-01-18;0;0;11;35;61;False
2023-01-19;5;0;12;50;55;False
2023-01-20;0;0;20;100;45;False
2023-01-21;0;0;9;92;48;False
2023-01-22;8;8;7;73;53;False
2023-01-23;7;0;6;49;55;False
2023-01-24;0;5;10;79;42;False
2023-01-25;0;0;0;51;57;False
2023-01-26;7;0;16;54;52;False
2023-01-27;0;0;9;71;36;False
2023-01-28;4;0;7;63;50;False
2023-01-29;6;0;7;69;46;False
2023-01-30;8;0;12;75;76;False
2023-01-31;6;0;8;77;64;False
