date;Ryanair;Ketanji Brown Jackson;Clermont Auvergne;Collecting;air travel;isPartial
2023-01-01;81;0;0;4;4;False
2023-01-02;89;0;0;5;4;False
2023-01-03;91;0;0;6;3;False
2023-01-04;85;1;0;4;4;False
2023-01-05;92;0;0;5;3;False
2023-01-06;91;0;0;4;3;False
2023-01-07;80;0;1;5;2;False
2023-01-08;100;0;1;5;4;False
2023-01-09;93;0;0;6;2;False
2023-01-10;91;0;0;5;4;False
2023-01-11;84;0;0;5;4;False
2023-01-12;91;0;0;4;3;False
2023-01-13;80;0;2;4;3;False
2023-01-14;81;0;0;4;3;False
2023-01-15;93;0;0;5;3;False
2023-01-16;92;0;0;6;3;False
2023-01-17;86;0;0;3;3;False
2023-01-18;81;0;0;6;4;False
2023-01-19;79;0;0;7;3;False
2023-01-20;84;0;0;5;3;False
2023-01-21;84;0;1;5;3;False
2023-01-22;99;0;0;5;3;False
2023-01-23;96;0;0;6;3;False
2023-01-24;87;0;0;5;3;False
2023-01-25;84;0;0;6;4;False
2023-01-26;80;0;0;5;3;False
2023-01-27;83;0;0;5;2;False
2023-01-28;81;0;0;3;3;False
2023-01-29;93;0;0;4;3;False
2023-01-30;86;0;1;5;5;False
2023-01-31;81;0;1;5;4;False
