date;Plants;Nao;Richard Sharp;North African food and drink;air travel;isPartial
2023-01-01;65;2;0;0;5;False
2023-01-02;74;2;0;0;6;False
2023-01-03;62;3;1;0;4;False
2023-01-04;63;3;0;0;5;False
2023-01-05;64;3;0;0;5;False
2023-01-06;64;3;0;0;5;False
2023-01-07;74;3;0;0;3;False
2023-01-08;89;3;0;0;5;False
2023-01-09;65;3;0;0;3;False
2023-01-10;65;3;0;0;5;False
2023-01-11;65;4;0;0;6;False
2023-01-12;61;4;0;0;5;False
2023-01-13;66;5;1;0;4;False
2023-01-14;77;3;0;0;3;False
2023-01-15;91;3;0;0;4;False
2023-01-16;73;4;1;0;4;False
2023-01-17;65;3;0;0;3;False
2023-01-18;64;5;0;0;5;False
2023-01-19;66;4;2;0;5;False
2023-01-20;64;5;0;0;4;False
2023-01-21;72;3;2;0;4;False
2023-01-22;81;3;14;0;4;False
2023-01-23;67;3;14;0;4;False
2023-01-24;69;3;13;0;3;False
2023-01-25;66;4;3;0;5;False
2023-01-26;75;3;1;0;4;False
2023-01-27;70;3;0;0;3;False
2023-01-28;73;4;1;0;4;False
2023-01-29;100;2;5;0;4;False
2023-01-30;81;4;0;0;6;False
2023-01-31;79;3;2;0;5;False
