date;Naturism;Petrol prices;Sport politics;Taxonomy;air travel;isPartial
2023-01-01;7;55;0;12;42;False
2023-01-02;7;41;0;15;50;False
2023-01-03;6;69;0;38;32;False
2023-01-04;3;63;4;24;49;False
2023-01-05;4;69;0;31;40;False
2023-01-06;0;68;0;18;40;False
2023-01-07;0;86;0;17;29;False
2023-01-08;0;58;0;10;46;False
2023-01-09;0;41;0;33;27;False
2023-01-10;0;75;4;33;43;False
2023-01-11;0;51;0;29;49;False
2023-01-12;0;68;6;32;41;False
2023-01-13;0;60;0;28;33;False
2023-01-14;5;69;0;15;31;False
2023-01-15;7;52;4;18;36;False
2023-01-16;0;44;6;27;38;False
2023-01-17;6;47;0;36;31;False
2023-01-18;0;52;0;36;44;False
2023-01-19;2;37;0;25;40;False
2023-01-20;7;57;0;20;32;False
2023-01-21;4;70;0;13;35;False
2023-01-22;0;60;0;0;39;False
2023-01-23;7;54;0;27;40;False
2023-01-24;0;49;0;38;30;False
2023-01-25;0;41;0;42;41;False
2023-01-26;0;52;0;26;37;False
2023-01-27;0;40;0;23;26;False
2023-01-28;8;43;0;15;36;False
2023-01-29;3;56;0;13;33;False
2023-01-30;3;44;0;19;55;False
2023-01-31;4;100;9;18;46;False
