date;Apple;John Lydon;Paris fashion week;Paris holidays;air travel;isPartial
2023-01-01;96;0;0;3;1;False
2023-01-02;98;0;0;3;1;False
2023-01-03;94;0;0;2;1;False
2023-01-04;90;0;0;2;1;False
2023-01-05;86;0;0;2;1;False
2023-01-06;82;0;0;2;1;False
2023-01-07;87;0;0;3;1;False
2023-01-08;100;0;0;3;1;False
2023-01-09;85;4;0;2;1;False
2023-01-10;77;2;0;2;1;False
2023-01-11;80;1;0;2;1;False
2023-01-12;84;1;0;2;1;False
2023-01-13;82;0;0;2;1;False
2023-01-14;86;0;0;2;1;False
2023-01-15;93;1;0;2;1;False
2023-01-16;78;3;0;2;1;False
2023-01-17;78;1;0;2;1;False
2023-01-18;82;0;0;2;1;False
2023-01-19;79;0;0;1;1;False
2023-01-20;82;0;1;1;1;False
2023-01-21;95;0;0;2;1;False
2023-01-22;86;0;0;2;1;False
2023-01-23;85;0;1;2;1;False
2023-01-24;85;0;1;1;1;False
2023-01-25;80;0;0;1;1;False
2023-01-26;83;0;1;1;1;False
2023-01-27;69;0;1;1;1;False
2023-01-28;85;0;0;2;1;False
2023-01-29;83;0;0;2;1;False
2023-01-30;82;0;0;2;1;False
2023-01-31;76;4;0;1;1;False
