date;hampshire;Emerging markets;Radio;Afghanistan;air travel;isPartial
2023-01-01;10;0;59;2;1;False
2023-01-02;12;0;61;2;1;False
2023-01-03;12;0;66;2;1;False
2023-01-04;13;0;73;2;1;False
2023-01-05;11;0;62;3;1;False
2023-01-06;12;0;60;4;1;False
2023-01-07;12;0;59;3;1;False
2023-01-08;12;0;56;4;1;False
2023-01-09;13;0;63;3;1;False
2023-01-10;12;0;74;3;1;False
2023-01-11;12;0;72;3;1;False
2023-01-12;13;0;71;2;1;False
2023-01-13;11;0;74;3;1;False
2023-01-14;11;0;74;2;1;False
2023-01-15;11;0;68;3;1;False
2023-01-16;13;1;71;4;1;False
2023-01-17;12;0;100;3;1;False
2023-01-18;12;0;93;3;1;False
2023-01-19;11;0;81;3;1;False
2023-01-20;12;0;83;2;1;False
2023-01-21;11;0;71;2;1;False
2023-01-22;11;0;62;2;1;False
2023-01-23;11;1;74;2;1;False
2023-01-24;11;0;79;3;1;False
2023-01-25;12;0;75;3;1;False
2023-01-26;10;0;69;3;1;False
2023-01-27;11;0;85;2;1;False
2023-01-28;9;0;66;2;1;False
2023-01-29;12;0;58;2;1;False
2023-01-30;12;0;80;2;1;False
2023-01-31;11;0;78;2;1;False
