date;USA;Boots;Tim Cook;James Bond;air travel;isPartial
2023-01-01;19;82;0;21;1;False
2023-01-02;18;100;0;9;1;False
2023-01-03;17;84;0;4;0;False
2023-01-04;17;77;0;5;1;False
2023-01-05;17;73;0;3;1;False
2023-01-06;18;72;0;3;1;False
2023-01-07;17;85;0;5;0;False
2023-01-08;19;85;0;4;1;False
2023-01-09;18;68;0;2;0;False
2023-01-10;18;72;0;3;1;False
2023-01-11;18;72;0;3;1;False
2023-01-12;18;72;0;3;1;False
2023-01-13;17;75;0;3;0;False
2023-01-14;18;92;0;3;0;False
2023-01-15;19;82;0;3;1;False
2023-01-16;19;69;0;2;1;False
2023-01-17;17;71;0;2;0;False
2023-01-18;17;70;0;2;1;False
2023-01-19;18;65;0;2;1;False
2023-01-20;17;73;0;3;0;False
2023-01-21;17;93;0;4;0;False
2023-01-22;18;82;0;3;1;False
2023-01-23;18;71;0;2;1;False
2023-01-24;18;69;0;2;0;False
2023-01-25;17;64;0;2;1;False
2023-01-26;17;61;0;2;1;False
2023-01-27;17;69;0;2;0;False
2023-01-28;17;81;0;3;1;False
2023-01-29;18;78;0;3;0;False
2023-01-30;18;69;0;2;1;False
2023-01-31;17;66;0;2;1;False
