date;holocaust;Rail strikes;Lucy Letby;Leicester;air travel;isPartial
2023-01-01;1;7;0;47;1;False
2023-01-02;1;15;0;52;1;False
2023-01-03;1;20;1;76;1;False
2023-01-04;2;13;0;48;1;False
2023-01-05;2;11;1;44;1;False
2023-01-06;1;9;0;48;1;False
2023-01-07;1;5;0;73;1;False
2023-01-08;2;7;0;46;1;False
2023-01-09;3;9;1;47;1;False
2023-01-10;3;7;1;100;1;False
2023-01-11;4;6;1;54;1;False
2023-01-12;3;7;1;48;1;False
2023-01-13;2;4;1;51;1;False
2023-01-14;3;3;0;85;1;False
2023-01-15;3;3;0;47;1;False
2023-01-16;3;6;1;49;1;False
2023-01-17;3;7;1;47;1;False
2023-01-18;3;8;1;50;1;False
2023-01-19;3;6;1;49;1;False
2023-01-20;3;6;1;59;1;False
2023-01-21;2;3;1;84;1;False
2023-01-22;3;3;0;47;1;False
2023-01-23;8;6;1;49;1;False
2023-01-24;7;5;1;46;1;False
2023-01-25;10;6;3;48;1;False
2023-01-26;10;5;1;47;1;False
2023-01-27;27;6;1;51;1;False
2023-01-28;6;3;1;81;1;False
2023-01-29;5;4;0;48;1;False
2023-01-30;4;11;1;51;2;False
2023-01-31;3;11;1;56;1;False
