date;JFK airport;Marin Alsop;Coronation Street;Eric Clapton;air travel;isPartial
2023-01-01;3;0;58;6;6;False
2023-01-02;2;0;66;3;7;False
2023-01-03;2;0;66;3;4;False
2023-01-04;3;0;100;3;6;False
2023-01-05;1;0;53;3;5;False
2023-01-06;1;0;47;4;5;False
2023-01-07;1;0;50;3;4;False
2023-01-08;2;0;53;2;6;False
2023-01-09;1;1;40;3;4;False
2023-01-10;2;1;38;1;6;False
2023-01-11;1;1;51;5;6;False
2023-01-12;1;1;36;10;5;False
2023-01-13;1;1;63;6;4;False
2023-01-14;2;0;68;4;4;False
2023-01-15;2;0;44;3;5;False
2023-01-16;13;1;53;3;5;False
2023-01-17;15;0;38;2;4;False
2023-01-18;3;0;48;3;6;False
2023-01-19;1;0;35;3;5;False
2023-01-20;1;0;53;4;4;False
2023-01-21;2;0;47;3;5;False
2023-01-22;2;1;59;5;5;False
2023-01-23;0;0;68;4;5;False
2023-01-24;1;0;44;3;4;False
2023-01-25;1;0;65;2;5;False
2023-01-26;2;1;65;3;5;False
2023-01-27;1;0;48;5;3;False
2023-01-28;1;0;42;8;5;False
2023-01-29;1;1;38;4;4;False
2023-01-30;2;0;57;2;7;False
2023-01-31;1;0;42;0;6;False
