date;fa cup;Cineworld;Antonio Banderas;Erling Haaland;air travel;isPartial
2023-01-01;2;10;0;1;0;False
2023-01-02;3;9;0;0;0;False
2023-01-03;3;8;0;0;0;False
2023-01-04;4;6;0;0;0;False
2023-01-05;6;6;0;1;0;False
2023-01-06;28;8;0;0;0;False
2023-01-07;88;9;0;0;0;False
2023-01-08;100;7;0;0;0;False
2023-01-09;27;6;0;0;0;False
2023-01-10;11;7;0;0;0;False
2023-01-11;8;6;0;0;0;False
2023-01-12;5;6;0;0;0;False
2023-01-13;4;8;0;0;0;False
2023-01-14;3;9;0;1;0;False
2023-01-15;3;7;0;0;0;False
2023-01-16;4;6;0;0;0;False
2023-01-17;25;5;0;0;0;False
2023-01-18;13;5;0;0;0;False
2023-01-19;4;5;0;0;0;False
2023-01-20;3;7;0;0;0;False
2023-01-21;3;9;0;0;0;False
2023-01-22;3;7;0;2;0;False
2023-01-23;4;5;0;1;0;False
2023-01-24;7;5;0;0;0;False
2023-01-25;7;6;0;0;0;False
2023-01-26;8;6;0;0;0;False
2023-01-27;32;8;0;1;0;False
2023-01-28;71;9;0;0;0;False
2023-01-29;67;8;0;0;0;False
2023-01-30;48;6;0;0;0;False
2023-01-31;17;6;1;0;0;False
