date;kylie jenner;David Moyes;Memory;Virtual reality;air travel;isPartial
2023-01-01;10;10;86;3;7;False
2023-01-02;11;4;91;4;8;False
2023-01-03;12;3;89;5;5;False
2023-01-04;11;6;98;4;8;False
2023-01-05;10;6;91;2;7;False
2023-01-06;10;3;98;4;7;False
2023-01-07;16;4;90;4;5;False
2023-01-08;25;1;92;4;8;False
2023-01-09;16;1;97;5;5;False
2023-01-10;10;2;96;3;7;False
2023-01-11;9;0;99;2;8;False
2023-01-12;11;0;100;5;7;False
2023-01-13;10;2;92;5;6;False
2023-01-14;14;12;92;2;5;False
2023-01-15;10;13;92;3;6;False
2023-01-16;10;16;94;3;6;False
2023-01-17;11;11;92;2;5;False
2023-01-18;14;12;97;4;7;False
2023-01-19;11;12;89;4;7;False
2023-01-20;8;9;93;2;5;False
2023-01-21;35;12;90;2;6;False
2023-01-22;51;6;87;4;6;False
2023-01-23;44;6;97;3;7;False
2023-01-24;34;4;93;3;5;False
2023-01-25;27;3;82;3;7;False
2023-01-26;20;2;84;5;6;False
2023-01-27;17;2;86;2;4;False
2023-01-28;15;1;83;3;6;False
2023-01-29;13;1;93;4;6;False
2023-01-30;12;5;93;3;9;False
2023-01-31;14;2;92;5;8;False
