date;Talk radio;Tony Wilson;Alisher Usmanov;Run the Jewels;air travel;isPartial
2023-01-01;33;10;0;11;76;False
2023-01-02;34;8;0;0;90;False
2023-01-03;61;50;0;0;59;False
2023-01-04;66;16;5;0;89;False
2023-01-05;48;8;6;7;73;False
2023-01-06;17;8;0;5;73;False
2023-01-07;61;0;0;8;53;False
2023-01-08;36;0;5;0;84;False
2023-01-09;51;13;6;0;50;False
2023-01-10;37;28;5;0;79;False
2023-01-11;60;8;0;7;90;False
2023-01-12;43;0;8;0;75;False
2023-01-13;37;0;0;0;60;False
2023-01-14;93;0;5;0;56;False
2023-01-15;53;30;13;0;66;False
2023-01-16;39;7;0;0;68;False
2023-01-17;47;0;9;5;56;False
2023-01-18;93;7;0;0;80;False
2023-01-19;48;6;6;17;73;False
2023-01-20;54;23;6;0;59;False
2023-01-21;73;0;5;0;63;False
2023-01-22;44;7;0;19;70;False
2023-01-23;61;0;7;0;72;False
2023-01-24;51;16;0;0;55;False
2023-01-25;52;5;0;0;75;False
2023-01-26;26;9;15;5;68;False
2023-01-27;43;0;0;10;47;False
2023-01-28;27;0;0;6;66;False
2023-01-29;41;9;0;0;60;False
2023-01-30;55;8;0;5;100;False
2023-01-31;52;12;0;0;84;False
