date;War crimes;Eric Adams;Norway;Edward Gardner;air travel;isPartial
2023-01-01;1;1;91;0;10;False
2023-01-02;1;0;79;0;12;False
2023-01-03;0;0;79;0;8;False
2023-01-04;2;0;67;1;11;False
2023-01-05;2;0;64;0;9;False
2023-01-06;3;0;67;0;9;False
2023-01-07;2;0;70;0;7;False
2023-01-08;2;0;84;0;11;False
2023-01-09;3;0;64;0;6;False
2023-01-10;3;0;67;0;10;False
2023-01-11;3;0;66;0;12;False
2023-01-12;2;0;71;0;10;False
2023-01-13;1;1;65;0;8;False
2023-01-14;0;1;81;0;7;False
2023-01-15;0;0;100;0;9;False
2023-01-16;3;2;77;0;9;False
2023-01-17;1;0;61;0;7;False
2023-01-18;2;0;67;0;10;False
2023-01-19;2;1;61;0;9;False
2023-01-20;3;0;71;0;8;False
2023-01-21;3;0;82;0;8;False
2023-01-22;2;2;77;0;9;False
2023-01-23;2;0;69;1;9;False
2023-01-24;1;0;69;0;7;False
2023-01-25;1;1;74;0;10;False
2023-01-26;4;0;68;0;9;False
2023-01-27;2;0;65;0;6;False
2023-01-28;2;0;69;0;8;False
2023-01-29;2;0;81;0;8;False
2023-01-30;2;1;71;0;13;False
2023-01-31;2;0;65;0;11;False
