date;Reece Shearsmith;Kully Thiarai;Roberto Martínez;WWF;air travel;isPartial
2023-01-01;20;0;0;65;66;False
2023-01-02;12;0;0;71;78;False
2023-01-03;9;4;0;57;51;False
2023-01-04;0;6;0;56;77;False
2023-01-05;8;0;0;74;63;False
2023-01-06;21;0;0;47;64;False
2023-01-07;0;0;14;68;46;False
2023-01-08;6;0;0;61;73;False
2023-01-09;0;0;18;75;43;False
2023-01-10;10;0;0;93;68;False
2023-01-11;11;0;0;69;78;False
2023-01-12;25;9;0;81;65;False
2023-01-13;14;5;0;53;52;False
2023-01-14;0;0;0;30;49;False
2023-01-15;19;0;0;82;57;False
2023-01-16;7;0;0;77;59;False
2023-01-17;0;0;0;58;48;False
2023-01-18;19;14;0;74;69;False
2023-01-19;17;0;0;86;63;False
2023-01-20;14;0;0;100;51;False
2023-01-21;11;0;0;66;55;False
2023-01-22;7;0;0;46;61;False
2023-01-23;6;0;0;85;62;False
2023-01-24;6;0;9;75;48;False
2023-01-25;5;6;0;72;65;False
2023-01-26;0;0;7;70;59;False
2023-01-27;7;0;0;66;41;False
2023-01-28;10;14;0;49;57;False
2023-01-29;9;0;0;59;52;False
2023-01-30;0;18;0;76;87;False
2023-01-31;5;0;0;65;73;False
