date;plymouth shooting;geri halliwell;Ben Okri;Ceramics;air travel;isPartial
2023-01-01;0;79;0;55;50;False
2023-01-02;0;10;0;47;59;False
2023-01-03;7;23;5;74;38;False
2023-01-04;0;7;3;83;58;False
2023-01-05;3;11;4;67;48;False
2023-01-06;0;16;9;75;48;False
2023-01-07;3;21;0;71;35;False
2023-01-08;0;12;0;100;55;False
2023-01-09;0;11;0;76;33;False
2023-01-10;0;4;3;85;52;False
2023-01-11;9;8;0;61;59;False
2023-01-12;0;12;6;94;49;False
2023-01-13;0;8;0;75;39;False
2023-01-14;0;20;0;63;37;False
2023-01-15;4;12;0;94;43;False
2023-01-16;0;14;0;74;45;False
2023-01-17;9;0;0;76;36;False
2023-01-18;17;7;0;71;53;False
2023-01-19;14;4;0;86;48;False
2023-01-20;12;12;0;86;39;False
2023-01-21;0;30;0;70;41;False
2023-01-22;4;13;0;67;46;False
2023-01-23;3;12;0;69;47;False
2023-01-24;0;0;0;70;36;False
2023-01-25;0;0;6;76;49;False
2023-01-26;0;0;0;76;44;False
2023-01-27;3;9;4;75;31;False
2023-01-28;0;7;0;71;43;False
2023-01-29;8;14;3;83;40;False
2023-01-30;0;8;0;68;66;False
2023-01-31;7;6;0;93;55;False
