date;Drama;Gabriel García Márquez;Arizona Cardinals;Universal Music;air travel;isPartial
2023-01-01;100;0;1;1;6;False
2023-01-02;96;0;1;0;8;False
2023-01-03;92;0;2;0;5;False
2023-01-04;94;0;0;1;7;False
2023-01-05;90;0;1;0;6;False
2023-01-06;90;0;2;2;6;False
2023-01-07;88;1;1;0;4;False
2023-01-08;98;0;1;1;7;False
2023-01-09;84;1;2;1;4;False
2023-01-10;77;0;1;1;7;False
2023-01-11;78;1;1;1;8;False
2023-01-12;85;0;1;2;6;False
2023-01-13;78;1;2;1;5;False
2023-01-14;84;0;0;1;5;False
2023-01-15;96;1;1;1;6;False
2023-01-16;84;0;1;1;6;False
2023-01-17;84;0;1;1;5;False
2023-01-18;75;0;1;1;7;False
2023-01-19;76;0;0;1;6;False
2023-01-20;72;0;0;1;5;False
2023-01-21;86;0;0;1;5;False
2023-01-22;86;0;0;2;6;False
2023-01-23;81;0;0;0;6;False
2023-01-24;75;0;1;0;5;False
2023-01-25;88;0;0;1;6;False
2023-01-26;84;0;0;1;6;False
2023-01-27;77;0;0;2;4;False
2023-01-28;73;1;0;1;6;False
2023-01-29;81;1;0;1;5;False
2023-01-30;80;0;1;0;8;False
2023-01-31;73;0;1;2;7;False
