date;Savings rates;Chicken;Bread;Spezia;air travel;isPartial
2023-01-01;2;82;22;0;1;False
2023-01-02;2;88;23;0;1;False
2023-01-03;3;77;21;0;1;False
2023-01-04;3;84;20;1;1;False
2023-01-05;3;77;21;0;1;False
2023-01-06;3;75;20;0;1;False
2023-01-07;2;88;25;0;1;False
2023-01-08;2;100;26;0;1;False
2023-01-09;2;95;20;0;1;False
2023-01-10;3;79;21;0;1;False
2023-01-11;2;72;19;0;1;False
2023-01-12;2;77;22;0;1;False
2023-01-13;2;72;20;0;1;False
2023-01-14;2;86;24;0;1;False
2023-01-15;2;93;25;1;1;False
2023-01-16;2;78;20;0;1;False
2023-01-17;3;76;20;0;1;False
2023-01-18;3;75;21;0;1;False
2023-01-19;2;69;20;1;1;False
2023-01-20;2;77;21;2;1;False
2023-01-21;2;98;27;0;1;False
2023-01-22;2;98;26;3;1;False
2023-01-23;2;86;21;0;1;False
2023-01-24;4;77;21;0;1;False
2023-01-25;3;76;20;0;1;False
2023-01-26;3;74;20;0;1;False
2023-01-27;2;74;21;1;1;False
2023-01-28;2;87;25;0;1;False
2023-01-29;2;94;28;0;1;False
2023-01-30;2;80;23;0;1;False
2023-01-31;3;78;21;0;1;False
