date;Hay fever;Robert Jenrick;Gucci;Sea level;air travel;isPartial
2023-01-01;0;0;88;5;7;False
2023-01-02;1;0;100;5;8;False
2023-01-03;1;0;75;3;5;False
2023-01-04;1;0;74;4;8;False
2023-01-05;1;1;73;5;7;False
2023-01-06;1;0;75;7;7;False
2023-01-07;1;0;80;7;5;False
2023-01-08;1;2;85;5;8;False
2023-01-09;1;0;67;6;5;False
2023-01-10;1;0;63;7;7;False
2023-01-11;1;0;66;7;8;False
2023-01-12;0;2;67;4;7;False
2023-01-13;1;0;70;5;6;False
2023-01-14;4;0;82;5;5;False
2023-01-15;1;0;85;7;6;False
2023-01-16;1;2;66;6;6;False
2023-01-17;0;0;63;6;5;False
2023-01-18;1;2;64;5;7;False
2023-01-19;1;1;63;6;7;False
2023-01-20;3;0;69;3;5;False
2023-01-21;1;1;81;5;6;False
2023-01-22;1;0;85;4;6;False
2023-01-23;2;0;66;4;7;False
2023-01-24;2;1;62;5;5;False
2023-01-25;2;0;63;4;7;False
2023-01-26;1;1;63;4;6;False
2023-01-27;1;0;66;4;4;False
2023-01-28;0;0;84;6;6;False
2023-01-29;1;1;86;4;6;False
2023-01-30;1;0;72;5;9;False
2023-01-31;2;1;61;4;8;False
