date;Maps;Julie Cunningham;Green economy;Teacher shortages;air travel;isPartial
2023-01-01;44;0;0;0;1;False
2023-01-02;57;0;0;0;1;False
2023-01-03;80;0;0;0;1;False
2023-01-04;89;0;0;0;1;False
2023-01-05;82;0;0;0;1;False
2023-01-06;83;0;0;0;1;False
2023-01-07;52;0;0;0;1;False
2023-01-08;61;0;0;0;1;False
2023-01-09;92;0;0;0;1;False
2023-01-10;96;0;0;0;1;False
2023-01-11;89;0;0;0;1;False
2023-01-12;97;0;0;0;1;False
2023-01-13;85;0;0;0;1;False
2023-01-14;56;0;0;0;1;False
2023-01-15;63;0;0;0;1;False
2023-01-16;98;0;0;0;1;False
2023-01-17;92;0;0;0;1;False
2023-01-18;94;0;0;0;1;False
2023-01-19;90;0;0;0;1;False
2023-01-20;91;0;0;0;1;False
2023-01-21;57;0;0;0;1;False
2023-01-22;53;0;0;0;1;False
2023-01-23;96;0;0;0;1;False
2023-01-24;100;0;0;0;1;False
2023-01-25;90;0;0;0;1;False
2023-01-26;88;0;0;0;1;False
2023-01-27;86;0;0;0;1;False
2023-01-28;63;0;0;0;1;False
2023-01-29;61;0;0;0;1;False
2023-01-30;99;0;0;0;1;False
2023-01-31;97;0;0;0;1;False
