date;Aidan Turner;Miscarriage;North of England;Aubrey Plaza;air travel;isPartial
2023-01-01;2;71;11;16;20;False
2023-01-02;2;62;5;14;24;False
2023-01-03;0;69;10;10;15;False
2023-01-04;5;61;5;15;23;False
2023-01-05;0;62;10;8;19;False
2023-01-06;3;67;9;14;19;False
2023-01-07;7;77;12;10;14;False
2023-01-08;5;86;7;14;22;False
2023-01-09;2;70;10;10;13;False
2023-01-10;5;60;6;9;21;False
2023-01-11;5;58;11;16;24;False
2023-01-12;5;77;16;15;20;False
2023-01-13;1;53;10;15;16;False
2023-01-14;5;53;7;14;15;False
2023-01-15;1;67;13;13;17;False
2023-01-16;3;71;14;10;18;False
2023-01-17;5;65;7;14;15;False
2023-01-18;3;59;11;18;21;False
2023-01-19;3;68;7;10;19;False
2023-01-20;3;62;9;18;16;False
2023-01-21;6;64;9;12;17;False
2023-01-22;4;55;12;34;18;False
2023-01-23;5;72;11;36;19;False
2023-01-24;0;70;10;20;15;False
2023-01-25;0;53;12;15;20;False
2023-01-26;2;65;12;15;18;False
2023-01-27;12;58;7;15;12;False
2023-01-28;5;47;13;18;17;False
2023-01-29;15;100;11;12;16;False
2023-01-30;5;69;7;19;26;False
2023-01-31;12;66;9;18;22;False
